group,outcome,bucket,n,expected_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct,significant
SP1,H,0.70-0.75,170,72.31485449563925,78.82352941176471,6.508674916125445,72.07984152840649,84.29331656493824,False
SP1,H,0.75-0.80,164,77.68393617959572,84.7560975609756,7.072161381379893,78.46470583233341,89.45647699719157,True
SP1,H,0.80-1.00,248,85.53593874800177,88.70967741935483,3.1737386713530658,84.16616099173214,92.07223647715307,False
SP2,H,0.30-0.35,749,32.63319726766423,32.576769025367156,-0.056428242297068554,29.316668614417896,36.01468395695967,False
SP2,H,0.35-0.40,1262,37.67925785254216,39.223454833597465,1.544196981055307,36.56623936257071,41.94608003031382,False
SP2,H,0.40-0.45,1472,42.507130251340115,42.934782608695656,0.4276523573555402,40.42772730316349,45.47861928579293,False
SP2,H,0.45-0.50,1247,47.310266511422185,49.87971130713713,2.569444795714948,47.10916279863314,52.65099867984663,False
SP2,H,0.50-0.55,910,52.38693323405781,55.27472527472528,2.8877920406674695,52.028732154062304,58.476370699648896,False
SP2,H,0.55-0.60,502,57.33356557750944,59.9601593625498,2.6265937850403653,55.613862167309016,64.15517224978915,False
SP2,H,0.60-0.65,202,62.12876360340491,67.32673267326733,5.197969069862419,60.58784479015471,73.41888659941864,False
SP2,H,0.65-0.70,70,66.95016122448634,78.57142857142857,11.621267346942233,67.60859281841938,86.56141433202154,True
SP2,H,0.70-0.75,31,72.09517524330779,77.41935483870968,5.324179595401879,60.187239941302614,88.60500840550121,False
SP2,H,0.75-0.80,17,77.2828765491917,70.58823529411765,-6.6946412550740515,46.8664666737861,86.72020613444361,False
SP2,H,0.80-1.00,1,81.90029402537519,100.0,18.099705974624815,20.654329147389294,100.0,False
SWE,H,0.30-0.35,384,32.550248000535724,28.125,-4.425248000535725,23.861729195205168,32.82161782068999,False
SWE,H,0.35-0.40,362,37.61868696651104,30.662983425414364,-6.955703541096675,26.136702260239524,35.59536976218767,True
SWE,H,0.40-0.45,387,42.3718901343182,40.56847545219638,-1.8034146821218178,35.792207313071344,45.53014936543987,False
SWE,H,0.45-0.50,343,47.55378334440092,44.606413994169095,-2.947369350231821,39.434400574018234,49.89790558533519,False
SWE,H,0.50-0.55,323,52.61645769153821,52.94117647058824,0.3247187790500261,47.495157419056056,58.318056076410876,False
