season,league,file,n_columns,time,avg_h,max_h,b365_h,ps_h,bfe_h,avgc_h,psc_h,avg_o25,b365_o25,p_o25,avgc_o25,ah_line,avg_ahh,avgc_ahh,btts_odds,xg_post_match
1516,F2,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,E0,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,E1,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,SP1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,I1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,D1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,F1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,N1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,P1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,B1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,T1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,G1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,SC0,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,SP2,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,I2,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,D2,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1617,F2,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,E0,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,E1,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,SP1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,I1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,D1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,F1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,N1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,P1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,B1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,T1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,G1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,SC0,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,SP2,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,I2,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,D2,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1718,F2,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,E0,ok,62,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,E1,ok,62,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,SP1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,I1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,D1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,F1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,N1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,P1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,B1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,T1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,G1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1819,SC0,ok,62,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
